Iteration,Temperature,Best Fitness
1,100000000.0,46
2,99900000.0,46
3,99800100.0,46
4,99700299.9,44
5,99600599.60010001,44
6,99500999.0004999,44
7,99401498.0014994,44
8,99302096.5034979,44
9,99202794.4069944,44
10,99103591.6125874,44
11,99004488.02097481,44
12,98905483.53295384,44
13,98806578.0494209,44
14,98707771.47137147,44
15,98609063.6999001,44
16,98510454.6362002,44
17,98411944.181564,44
18,98313532.23738244,44
19,98215218.70514506,43
20,98117003.48643991,43
21,98018886.48295347,42
22,97920867.59647052,42
23,97822946.72887404,42
24,97725123.78214517,42
25,97627398.65836303,42
26,97529771.25970466,42
27,97432241.48844495,42
28,97334809.24695651,41
29,97237474.43770956,41
30,97140236.96327184,41
31,97043096.72630857,41
32,96946053.62958226,41
33,96849107.57595268,41
34,96752258.46837673,41
35,96655506.20990835,41
36,96558850.70369844,41
37,96462291.85299474,40
38,96365829.56114174,40
39,96269463.7315806,40
40,96173194.26784901,40
41,96077021.07358116,40
42,95980944.05250758,40
43,95884963.10845508,40
44,95789078.14534663,40
45,95693289.06720129,40
46,95597595.77813408,40
47,95501998.18235594,40
48,95406496.18417358,40
49,95311089.68798941,40
50,95215778.59830143,40
51,95120562.81970312,40
52,95025442.25688341,40
53,94930416.81462653,40
54,94835486.3978119,40
55,94740650.91141409,40
56,94645910.26050267,40
57,94551264.35024217,40
58,94456713.08589193,40
59,94362256.37280604,40
60,94267894.11643323,40
61,94173626.2223168,40
62,94079452.59609449,40
63,93985373.14349839,40
64,93891387.7703549,40
65,93797496.38258454,40
66,93703698.88620196,40
67,93609995.18731576,40
68,93516385.19212845,40
69,93422868.80693632,40
70,93329445.93812938,40
71,93236116.49219126,40
72,93142880.37569906,40
73,93049737.49532336,40
74,92956687.75782804,40
75,92863731.0700702,40
76,92770867.33900014,40
77,92678096.47166114,40
78,92585418.37518947,40
79,92492832.95681427,40
80,92400340.12385745,40
81,92307939.78373359,40
82,92215631.84394985,40
83,92123416.2121059,40
84,92031292.79589379,40
85,91939261.50309789,40
86,91847322.24159479,40
87,91755474.9193532,40
88,91663719.44443385,40
89,91572055.72498941,39
90,91480483.66926442,39
91,91389003.18559515,39
92,91297614.18240955,39
93,91206316.56822714,38
94,91115110.25165892,38
95,91023995.14140725,37
96,90932971.14626585,37
97,90842038.17511958,37
98,90751196.13694446,37
99,90660444.9408075,37
100,90569784.4958667,37
101,90479214.71137084,37
102,90388735.49665947,37
103,90298346.76116282,37
104,90208048.41440165,37
105,90117840.36598724,37
106,90027722.52562125,37
107,89937694.80309562,36
108,89847757.10829253,36
109,89757909.35118425,36
110,89668151.44183306,36
111,89578483.29039124,36
112,89488904.80710085,36
113,89399415.90229374,36
114,89310016.48639145,36
115,89220706.46990506,36
116,89131485.76343516,36
117,89042354.27767172,36
118,88953311.92339405,36
119,88864358.61147065,36
120,88775494.25285919,36
121,88686718.75860633,36
122,88598032.03984772,36
123,88509434.00780787,36
124,88420924.57380006,36
125,88332503.64922626,36
126,88244171.14557704,36
127,88155926.97443147,36
128,88067771.04745704,36
129,87979703.27640958,36
130,87891723.57313317,36
131,87803831.84956004,36
132,87716028.01771048,36
133,87628311.98969276,36
134,87540683.67770307,36
135,87453142.99402536,36
136,87365689.85103133,36
137,87278324.1611803,36
138,87191045.83701912,36
139,87103854.7911821,36
140,87016750.93639092,36
141,86929734.18545453,36
142,86842804.45126908,36
143,86755961.6468178,36
144,86669205.68517098,36
145,86582536.47948581,36
146,86495953.94300632,36
147,86409457.98906332,36
148,86323048.53107426,36
149,86236725.48254319,36
150,86150488.75706065,36
151,86064338.26830359,36
152,85978273.93003528,36
153,85892295.65610525,36
154,85806403.36044915,36
155,85720596.9570887,36
156,85634876.3601316,36
157,85549241.48377147,36
158,85463692.2422877,36
159,85378228.5500454,36
160,85292850.32149535,36
161,85207557.47117385,36
162,85122349.91370268,36
163,85037227.56378898,36
164,84952190.3362252,36
165,84867238.14588897,36
166,84782370.90774308,36
167,84697588.53683534,36
168,84612890.94829851,36
169,84528278.05735022,36
170,84443749.77929287,36
171,84359306.02951357,36
172,84274946.72348405,36
173,84190671.77676056,36
174,84106481.1049838,36
