Iteration,Temperature,Best Fitness
1,100000000.0,38
2,99900000.0,38
3,99800100.0,38
4,99700299.9,38
5,99600599.60010001,38
6,99500999.0004999,38
7,99401498.0014994,38
8,99302096.5034979,38
9,99202794.4069944,38
10,99103591.6125874,38
11,99004488.02097481,38
12,98905483.53295384,38
13,98806578.0494209,38
14,98707771.47137147,38
15,98609063.6999001,37
16,98510454.6362002,36
17,98411944.181564,36
18,98313532.23738244,36
19,98215218.70514506,36
20,98117003.48643991,36
21,98018886.48295347,36
22,97920867.59647052,36
23,97822946.72887404,36
24,97725123.78214517,36
25,97627398.65836303,36
26,97529771.25970466,36
27,97432241.48844495,36
28,97334809.24695651,36
29,97237474.43770956,36
30,97140236.96327184,36
31,97043096.72630857,36
32,96946053.62958226,36
33,96849107.57595268,36
34,96752258.46837673,36
35,96655506.20990835,36
36,96558850.70369844,36
37,96462291.85299474,36
38,96365829.56114174,36
39,96269463.7315806,36
40,96173194.26784901,36
41,96077021.07358116,36
42,95980944.05250758,36
43,95884963.10845508,36
44,95789078.14534663,36
45,95693289.06720129,36
46,95597595.77813408,36
47,95501998.18235594,36
48,95406496.18417358,36
49,95311089.68798941,36
50,95215778.59830143,36
51,95120562.81970312,36
52,95025442.25688341,36
53,94930416.81462653,36
54,94835486.3978119,36
55,94740650.91141409,36
56,94645910.26050267,36
57,94551264.35024217,36
58,94456713.08589193,36
59,94362256.37280604,36
60,94267894.11643323,36
61,94173626.2223168,36
62,94079452.59609449,36
63,93985373.14349839,36
64,93891387.7703549,36
65,93797496.38258454,36
66,93703698.88620196,36
67,93609995.18731576,36
68,93516385.19212845,36
69,93422868.80693632,36
70,93329445.93812938,36
71,93236116.49219126,36
72,93142880.37569906,36
73,93049737.49532336,36
74,92956687.75782804,36
75,92863731.0700702,36
76,92770867.33900014,36
77,92678096.47166114,36
78,92585418.37518947,36
79,92492832.95681427,36
80,92400340.12385745,36
81,92307939.78373359,36
82,92215631.84394985,36
83,92123416.2121059,36
84,92031292.79589379,36
85,91939261.50309789,36
86,91847322.24159479,36
87,91755474.9193532,36
88,91663719.44443385,36
89,91572055.72498941,36
90,91480483.66926442,36
91,91389003.18559515,36
92,91297614.18240955,36
93,91206316.56822714,36
94,91115110.25165892,36
95,91023995.14140725,36
96,90932971.14626585,36
97,90842038.17511958,36
98,90751196.13694446,36
99,90660444.9408075,36
100,90569784.4958667,36
101,90479214.71137084,36
102,90388735.49665947,36
103,90298346.76116282,36
104,90208048.41440165,36
105,90117840.36598724,36
106,90027722.52562125,36
107,89937694.80309562,36
108,89847757.10829253,36
109,89757909.35118425,36
110,89668151.44183306,36
111,89578483.29039124,36
112,89488904.80710085,36
113,89399415.90229374,36
114,89310016.48639145,36
115,89220706.46990506,36
116,89131485.76343516,36
117,89042354.27767172,36
118,88953311.92339405,36
119,88864358.61147065,36
120,88775494.25285919,36
121,88686718.75860633,36
122,88598032.03984772,36
123,88509434.00780787,36
124,88420924.57380006,36
