Iteration,Temperature,Best Fitness
1,100000000.0,40
2,99900000.0,39
3,99800100.0,39
4,99700299.9,39
5,99600599.60010001,39
6,99500999.0004999,39
7,99401498.0014994,39
8,99302096.5034979,37
9,99202794.4069944,37
10,99103591.6125874,37
11,99004488.02097481,37
12,98905483.53295384,37
13,98806578.0494209,37
14,98707771.47137147,37
15,98609063.6999001,37
16,98510454.6362002,37
17,98411944.181564,37
18,98313532.23738244,37
19,98215218.70514506,37
20,98117003.48643991,37
21,98018886.48295347,37
22,97920867.59647052,37
23,97822946.72887404,37
24,97725123.78214517,37
25,97627398.65836303,37
26,97529771.25970466,37
27,97432241.48844495,37
28,97334809.24695651,37
29,97237474.43770956,37
30,97140236.96327184,37
31,97043096.72630857,37
32,96946053.62958226,37
33,96849107.57595268,37
34,96752258.46837673,37
35,96655506.20990835,37
36,96558850.70369844,37
37,96462291.85299474,37
38,96365829.56114174,37
39,96269463.7315806,37
40,96173194.26784901,37
41,96077021.07358116,37
42,95980944.05250758,37
43,95884963.10845508,37
44,95789078.14534663,37
45,95693289.06720129,37
46,95597595.77813408,37
47,95501998.18235594,37
48,95406496.18417358,37
49,95311089.68798941,37
50,95215778.59830143,37
51,95120562.81970312,37
52,95025442.25688341,37
53,94930416.81462653,37
54,94835486.3978119,36
55,94740650.91141409,34
56,94645910.26050267,34
57,94551264.35024217,33
58,94456713.08589193,33
59,94362256.37280604,33
60,94267894.11643323,33
61,94173626.2223168,33
62,94079452.59609449,33
63,93985373.14349839,33
64,93891387.7703549,33
65,93797496.38258454,33
66,93703698.88620196,33
67,93609995.18731576,33
68,93516385.19212845,33
69,93422868.80693632,33
70,93329445.93812938,33
71,93236116.49219126,33
72,93142880.37569906,33
73,93049737.49532336,33
74,92956687.75782804,33
75,92863731.0700702,33
76,92770867.33900014,33
77,92678096.47166114,33
78,92585418.37518947,33
79,92492832.95681427,33
80,92400340.12385745,33
81,92307939.78373359,33
82,92215631.84394985,33
83,92123416.2121059,33
84,92031292.79589379,33
85,91939261.50309789,33
86,91847322.24159479,33
87,91755474.9193532,33
88,91663719.44443385,33
89,91572055.72498941,33
90,91480483.66926442,33
91,91389003.18559515,33
92,91297614.18240955,33
93,91206316.56822714,33
94,91115110.25165892,33
95,91023995.14140725,33
96,90932971.14626585,33
97,90842038.17511958,33
98,90751196.13694446,33
99,90660444.9408075,33
100,90569784.4958667,33
101,90479214.71137084,33
102,90388735.49665947,33
103,90298346.76116282,33
104,90208048.41440165,33
105,90117840.36598724,33
106,90027722.52562125,33
107,89937694.80309562,33
108,89847757.10829253,33
109,89757909.35118425,33
110,89668151.44183306,33
111,89578483.29039124,33
112,89488904.80710085,33
113,89399415.90229374,33
114,89310016.48639145,32
115,89220706.46990506,32
116,89131485.76343516,32
117,89042354.27767172,32
118,88953311.92339405,32
119,88864358.61147065,32
120,88775494.25285919,32
121,88686718.75860633,32
122,88598032.03984772,32
123,88509434.00780787,32
124,88420924.57380006,32
125,88332503.64922626,32
126,88244171.14557704,32
127,88155926.97443147,32
128,88067771.04745704,32
129,87979703.27640958,32
130,87891723.57313317,32
131,87803831.84956004,32
132,87716028.01771048,32
133,87628311.98969276,32
134,87540683.67770307,32
135,87453142.99402536,32
136,87365689.85103133,32
137,87278324.1611803,32
138,87191045.83701912,32
139,87103854.7911821,32
140,87016750.93639092,32
141,86929734.18545453,32
142,86842804.45126908,32
143,86755961.6468178,32
144,86669205.68517098,32
145,86582536.47948581,32
146,86495953.94300632,32
147,86409457.98906332,32
148,86323048.53107426,32
149,86236725.48254319,32
150,86150488.75706065,32
151,86064338.26830359,32
152,85978273.93003528,32
153,85892295.65610525,32
154,85806403.36044915,32
155,85720596.9570887,32
156,85634876.3601316,32
157,85549241.48377147,32
158,85463692.2422877,32
159,85378228.5500454,32
160,85292850.32149535,32
161,85207557.47117385,32
162,85122349.91370268,32
163,85037227.56378898,32
164,84952190.3362252,32
165,84867238.14588897,32
166,84782370.90774308,32
167,84697588.53683534,32
168,84612890.94829851,32
169,84528278.05735022,32
170,84443749.77929287,32
171,84359306.02951357,32
172,84274946.72348405,32
173,84190671.77676056,32
174,84106481.1049838,32
175,84022374.62387882,32
176,83938352.24925494,32
177,83854413.89700569,32
178,83770559.48310868,32
179,83686788.92362557,32
180,83603102.13470195,32
181,83519499.03256725,32
182,83435979.53353468,32
183,83352543.55400114,32
184,83269191.01044713,32
185,83185921.81943668,32
186,83102735.89761725,32
187,83019633.16171964,32
188,82936613.52855791,32
189,82853676.91502935,32
190,82770823.23811431,32
191,82688052.4148762,32
192,82605364.36246131,32
193,82522758.99809885,32
194,82440236.23910075,32
195,82357796.00286165,32
196,82275438.20685878,32
197,82193162.76865193,32
198,82110969.60588329,32
199,82028858.6362774,32
200,81946829.77764113,32
201,81864882.94786349,32
202,81783018.06491563,32
203,81701235.04685071,32
204,81619533.81180386,32
205,81537914.27799205,32
206,81456376.36371407,32
207,81374919.98735036,32
208,81293545.06736301,32
209,81212251.52229564,32
210,81131039.27077334,32
211,81049908.23150256,32
212,80968858.32327107,32
213,80887889.46494779,32
214,80807001.57548285,32
215,80726194.57390736,32
216,80645468.37933345,32
217,80564822.91095412,32
218,80484258.08804317,32
219,80403773.82995513,32
220,80323370.05612518,32
221,80243046.68606906,32
222,80162803.63938299,32
223,80082640.8357436,32
224,80002558.19490786,32
225,79922555.63671295,32
226,79842633.08107623,32
227,79762790.44799516,32
228,79683027.65754716,32
229,79603344.6298896,32
230,79523741.28525972,32
231,79444217.54397446,32
232,79364773.32643048,32
233,79285408.55310406,32
234,79206123.14455095,32
235,79126917.0214064,32
236,79047790.10438499,32
237,78968742.3142806,32
238,78889773.57196632,32
239,78810883.79839435,32
240,78732072.91459596,32
241,78653340.84168136,32
242,78574687.50083968,32
243,78496112.81333885,32
244,78417616.7005255,32
245,78339199.08382498,32
