Iteration,Temperature,Best Fitness
1,100000000.0,43
2,99900000.0,43
3,99800100.0,43
4,99700299.9,43
5,99600599.60010001,43
6,99500999.0004999,43
7,99401498.0014994,43
8,99302096.5034979,43
9,99202794.4069944,43
10,99103591.6125874,43
11,99004488.02097481,43
12,98905483.53295384,43
13,98806578.0494209,43
14,98707771.47137147,43
15,98609063.6999001,43
16,98510454.6362002,43
17,98411944.181564,43
18,98313532.23738244,43
19,98215218.70514506,43
20,98117003.48643991,43
21,98018886.48295347,43
22,97920867.59647052,43
23,97822946.72887404,43
24,97725123.78214517,43
25,97627398.65836303,43
26,97529771.25970466,43
27,97432241.48844495,43
28,97334809.24695651,43
29,97237474.43770956,43
30,97140236.96327184,43
31,97043096.72630857,43
32,96946053.62958226,43
33,96849107.57595268,43
34,96752258.46837673,43
35,96655506.20990835,43
36,96558850.70369844,43
37,96462291.85299474,43
38,96365829.56114174,43
39,96269463.7315806,43
40,96173194.26784901,43
41,96077021.07358116,43
42,95980944.05250758,43
43,95884963.10845508,43
44,95789078.14534663,43
45,95693289.06720129,43
46,95597595.77813408,42
47,95501998.18235594,42
48,95406496.18417358,42
49,95311089.68798941,42
50,95215778.59830143,42
51,95120562.81970312,40
52,95025442.25688341,40
53,94930416.81462653,40
54,94835486.3978119,40
55,94740650.91141409,39
56,94645910.26050267,37
57,94551264.35024217,35
58,94456713.08589193,35
59,94362256.37280604,35
60,94267894.11643323,35
61,94173626.2223168,35
62,94079452.59609449,35
63,93985373.14349839,35
64,93891387.7703549,35
65,93797496.38258454,35
66,93703698.88620196,35
67,93609995.18731576,35
68,93516385.19212845,35
69,93422868.80693632,35
70,93329445.93812938,35
71,93236116.49219126,35
72,93142880.37569906,35
73,93049737.49532336,35
74,92956687.75782804,35
75,92863731.0700702,35
76,92770867.33900014,35
77,92678096.47166114,35
78,92585418.37518947,35
79,92492832.95681427,35
80,92400340.12385745,35
81,92307939.78373359,35
82,92215631.84394985,35
83,92123416.2121059,35
84,92031292.79589379,35
85,91939261.50309789,35
86,91847322.24159479,35
87,91755474.9193532,35
88,91663719.44443385,35
89,91572055.72498941,35
90,91480483.66926442,35
91,91389003.18559515,35
92,91297614.18240955,35
93,91206316.56822714,35
94,91115110.25165892,35
95,91023995.14140725,35
96,90932971.14626585,35
97,90842038.17511958,35
98,90751196.13694446,35
99,90660444.9408075,35
100,90569784.4958667,35
101,90479214.71137084,35
102,90388735.49665947,35
103,90298346.76116282,35
104,90208048.41440165,35
105,90117840.36598724,35
106,90027722.52562125,35
107,89937694.80309562,35
108,89847757.10829253,35
109,89757909.35118425,35
110,89668151.44183306,35
111,89578483.29039124,35
112,89488904.80710085,35
113,89399415.90229374,35
114,89310016.48639145,35
115,89220706.46990506,35
116,89131485.76343516,35
117,89042354.27767172,35
118,88953311.92339405,35
119,88864358.61147065,35
120,88775494.25285919,35
121,88686718.75860633,35
122,88598032.03984772,35
123,88509434.00780787,35
124,88420924.57380006,35
125,88332503.64922626,35
126,88244171.14557704,35
127,88155926.97443147,35
128,88067771.04745704,35
129,87979703.27640958,35
130,87891723.57313317,35
131,87803831.84956004,35
132,87716028.01771048,35
133,87628311.98969276,35
134,87540683.67770307,35
135,87453142.99402536,35
136,87365689.85103133,35
137,87278324.1611803,35
138,87191045.83701912,35
139,87103854.7911821,35
140,87016750.93639092,35
141,86929734.18545453,35
142,86842804.45126908,35
143,86755961.6468178,35
144,86669205.68517098,35
145,86582536.47948581,35
146,86495953.94300632,35
147,86409457.98906332,35
148,86323048.53107426,35
149,86236725.48254319,35
150,86150488.75706065,35
151,86064338.26830359,35
152,85978273.93003528,35
153,85892295.65610525,35
154,85806403.36044915,35
155,85720596.9570887,35
156,85634876.3601316,35
157,85549241.48377147,35
158,85463692.2422877,35
159,85378228.5500454,35
160,85292850.32149535,35
161,85207557.47117385,35
162,85122349.91370268,35
163,85037227.56378898,35
164,84952190.3362252,35
165,84867238.14588897,35
166,84782370.90774308,35
167,84697588.53683534,35
168,84612890.94829851,35
169,84528278.05735022,35
170,84443749.77929287,35
171,84359306.02951357,35
172,84274946.72348405,35
173,84190671.77676056,35
174,84106481.1049838,35
175,84022374.62387882,35
176,83938352.24925494,35
177,83854413.89700569,35
178,83770559.48310868,35
179,83686788.92362557,35
180,83603102.13470195,35
181,83519499.03256725,35
182,83435979.53353468,35
183,83352543.55400114,35
184,83269191.01044713,35
185,83185921.81943668,35
186,83102735.89761725,35
187,83019633.16171964,35
188,82936613.52855791,35
189,82853676.91502935,35
190,82770823.23811431,35
191,82688052.4148762,35
192,82605364.36246131,35
193,82522758.99809885,35
194,82440236.23910075,35
195,82357796.00286165,35
196,82275438.20685878,35
197,82193162.76865193,35
198,82110969.60588329,35
199,82028858.6362774,35
200,81946829.77764113,35
201,81864882.94786349,35
202,81783018.06491563,35
203,81701235.04685071,35
204,81619533.81180386,35
205,81537914.27799205,35
206,81456376.36371407,35
207,81374919.98735036,35
208,81293545.06736301,35
209,81212251.52229564,35
210,81131039.27077334,35
211,81049908.23150256,35
212,80968858.32327107,35
213,80887889.46494779,35
214,80807001.57548285,35
215,80726194.57390736,35
216,80645468.37933345,35
217,80564822.91095412,35
218,80484258.08804317,35
219,80403773.82995513,35
220,80323370.05612518,35
221,80243046.68606906,35
222,80162803.63938299,35
223,80082640.8357436,35
224,80002558.19490786,35
225,79922555.63671295,35
226,79842633.08107623,35
227,79762790.44799516,35
228,79683027.65754716,35
229,79603344.6298896,35
230,79523741.28525972,35
231,79444217.54397446,35
232,79364773.32643048,35
233,79285408.55310406,35
234,79206123.14455095,35
235,79126917.0214064,35
236,79047790.10438499,35
237,78968742.3142806,35
238,78889773.57196632,35
239,78810883.79839435,35
240,78732072.91459596,35
241,78653340.84168136,35
242,78574687.50083968,35
243,78496112.81333885,35
244,78417616.7005255,35
245,78339199.08382498,35
246,78260859.88474116,35
247,78182599.02485642,35
248,78104416.42583156,35
249,78026312.00940572,35
250,77948285.69739631,35
251,77870337.41169891,35
252,77792467.0742872,35
253,77714674.60721292,35
254,77636959.9326057,35
255,77559322.97267309,35
256,77481763.64970042,35
257,77404281.88605072,35
258,77326877.60416466,35
259,77249550.72656049,35
260,77172301.17583393,35
261,77095128.8746581,35
262,77018033.74578343,35
263,76941015.71203765,35
264,76864074.69632562,35
265,76787210.62162928,35
266,76710423.41100766,35
267,76633712.98759665,35
268,76557079.27460904,35
269,76480522.19533443,35
270,76404041.6731391,35
271,76327637.63146596,35
272,76251309.9938345,35
273,76175058.68384066,35
274,76098883.62515682,35
275,76022784.74153167,35
276,75946761.95679013,35
277,75870815.19483334,35
278,75794944.37963851,35
279,75719149.43525887,35
280,75643430.28582361,35
281,75567786.85553779,35
282,75492219.06868225,35
283,75416726.84961358,35
284,75341310.12276396,35
285,75265968.8126412,35
286,75190702.84382856,35
287,75115512.14098473,35
288,75040396.62884374,35
289,74965356.2322149,35
290,74890390.87598269,35
291,74815500.4851067,35
292,74740684.9846216,35
293,74665944.29963697,35
294,74591278.35533734,35
295,74516687.076982,35
296,74442170.38990502,35
297,74367728.21951512,35
298,74293360.4912956,35
299,74219067.13080432,35
300,74144848.06367351,35
301,74070703.21560983,35
302,73996632.51239422,35
303,73922635.87988183,35
304,73848713.24400194,35
305,73774864.53075793,35
306,73701089.66622718,35
307,73627388.57656094,35
308,73553761.18798438,35
309,73480207.42679639,35
310,73406727.21936959,35
311,73333320.49215022,35
312,73259987.17165807,35
313,73186727.1844864,35
314,73113540.45730191,35
315,73040426.9168446,35
316,72967386.48992777,35
317,72894419.10343784,35
318,72821524.6843344,35
319,72748703.15965006,35
320,72675954.45649041,35
321,72603278.50203392,35
322,72530675.22353189,35
323,72458144.54830836,35
324,72385686.40376005,35
325,72313300.71735628,35
326,72240987.41663893,35
327,72168746.42922229,35
328,72096577.68279307,35
329,72024481.10511027,31
330,71952456.62400517,30
331,71880504.16738117,28
332,71808623.66321379,28
333,71736815.03955057,28
334,71665078.22451103,28
335,71593413.14628652,28
336,71521819.73314023,28
337,71450297.91340709,28
338,71378847.61549369,28
339,71307468.76787819,28
340,71236161.29911031,28
341,71164925.1378112,28
342,71093760.21267338,28
343,71022666.4524607,28
344,70951643.78600824,28
345,70880692.14222223,28
346,70809811.45008,28
347,70739001.63862993,28
348,70668262.63699129,28
349,70597594.3743543,28
350,70526996.77997994,28
351,70456469.78319997,28
