Iteration,Temperature,Best Fitness
1,100000000.0,44
2,99900000.0,44
3,99800100.0,44
4,99700299.9,44
5,99600599.60010001,44
6,99500999.0004999,44
7,99401498.0014994,44
8,99302096.5034979,44
9,99202794.4069944,44
10,99103591.6125874,44
11,99004488.02097481,44
12,98905483.53295384,44
13,98806578.0494209,44
14,98707771.47137147,44
15,98609063.6999001,44
16,98510454.6362002,44
17,98411944.181564,44
18,98313532.23738244,44
19,98215218.70514506,44
20,98117003.48643991,44
21,98018886.48295347,44
22,97920867.59647052,44
23,97822946.72887404,44
24,97725123.78214517,44
25,97627398.65836303,44
26,97529771.25970466,44
27,97432241.48844495,44
28,97334809.24695651,44
29,97237474.43770956,44
30,97140236.96327184,44
31,97043096.72630857,44
32,96946053.62958226,44
33,96849107.57595268,44
34,96752258.46837673,44
35,96655506.20990835,44
36,96558850.70369844,44
37,96462291.85299474,44
38,96365829.56114174,44
39,96269463.7315806,44
40,96173194.26784901,44
41,96077021.07358116,44
42,95980944.05250758,44
43,95884963.10845508,44
44,95789078.14534663,44
45,95693289.06720129,44
46,95597595.77813408,44
47,95501998.18235594,44
48,95406496.18417358,44
49,95311089.68798941,44
50,95215778.59830143,44
51,95120562.81970312,44
52,95025442.25688341,44
53,94930416.81462653,44
54,94835486.3978119,44
55,94740650.91141409,44
56,94645910.26050267,44
57,94551264.35024217,44
58,94456713.08589193,44
59,94362256.37280604,44
60,94267894.11643323,44
61,94173626.2223168,44
62,94079452.59609449,43
63,93985373.14349839,43
64,93891387.7703549,43
65,93797496.38258454,41
66,93703698.88620196,41
67,93609995.18731576,41
68,93516385.19212845,41
69,93422868.80693632,38
70,93329445.93812938,37
71,93236116.49219126,36
72,93142880.37569906,36
73,93049737.49532336,36
74,92956687.75782804,36
75,92863731.0700702,36
76,92770867.33900014,36
77,92678096.47166114,36
78,92585418.37518947,36
79,92492832.95681427,36
80,92400340.12385745,36
81,92307939.78373359,36
82,92215631.84394985,36
83,92123416.2121059,36
84,92031292.79589379,36
85,91939261.50309789,36
86,91847322.24159479,36
87,91755474.9193532,36
88,91663719.44443385,36
89,91572055.72498941,36
90,91480483.66926442,36
91,91389003.18559515,36
92,91297614.18240955,36
93,91206316.56822714,36
94,91115110.25165892,36
95,91023995.14140725,36
96,90932971.14626585,36
97,90842038.17511958,36
98,90751196.13694446,36
99,90660444.9408075,36
100,90569784.4958667,36
