Iteration,Temperature,Best Fitness
1,100000000.0,35
2,99900000.0,35
3,99800100.0,35
4,99700299.9,35
5,99600599.60010001,35
6,99500999.0004999,35
7,99401498.0014994,35
8,99302096.5034979,35
9,99202794.4069944,35
10,99103591.6125874,35
11,99004488.02097481,35
12,98905483.53295384,35
13,98806578.0494209,35
14,98707771.47137147,35
15,98609063.6999001,35
16,98510454.6362002,35
17,98411944.181564,35
18,98313532.23738244,35
19,98215218.70514506,35
20,98117003.48643991,35
21,98018886.48295347,35
22,97920867.59647052,35
23,97822946.72887404,35
24,97725123.78214517,35
25,97627398.65836303,35
26,97529771.25970466,35
27,97432241.48844495,35
28,97334809.24695651,35
29,97237474.43770956,35
30,97140236.96327184,35
31,97043096.72630857,35
32,96946053.62958226,35
33,96849107.57595268,35
34,96752258.46837673,35
35,96655506.20990835,35
36,96558850.70369844,35
37,96462291.85299474,35
38,96365829.56114174,35
39,96269463.7315806,35
40,96173194.26784901,35
41,96077021.07358116,35
42,95980944.05250758,35
43,95884963.10845508,35
44,95789078.14534663,35
45,95693289.06720129,35
46,95597595.77813408,35
47,95501998.18235594,35
48,95406496.18417358,35
49,95311089.68798941,35
50,95215778.59830143,35
51,95120562.81970312,35
52,95025442.25688341,35
53,94930416.81462653,35
54,94835486.3978119,35
55,94740650.91141409,35
56,94645910.26050267,35
57,94551264.35024217,35
58,94456713.08589193,35
59,94362256.37280604,35
60,94267894.11643323,35
61,94173626.2223168,35
62,94079452.59609449,35
63,93985373.14349839,35
64,93891387.7703549,35
65,93797496.38258454,35
66,93703698.88620196,35
67,93609995.18731576,35
68,93516385.19212845,35
69,93422868.80693632,35
70,93329445.93812938,35
71,93236116.49219126,35
72,93142880.37569906,35
73,93049737.49532336,35
74,92956687.75782804,35
75,92863731.0700702,35
76,92770867.33900014,35
77,92678096.47166114,35
78,92585418.37518947,35
79,92492832.95681427,35
80,92400340.12385745,35
81,92307939.78373359,35
82,92215631.84394985,35
83,92123416.2121059,35
84,92031292.79589379,35
85,91939261.50309789,35
86,91847322.24159479,35
87,91755474.9193532,35
88,91663719.44443385,35
89,91572055.72498941,35
90,91480483.66926442,35
91,91389003.18559515,35
92,91297614.18240955,35
93,91206316.56822714,35
94,91115110.25165892,35
95,91023995.14140725,35
96,90932971.14626585,35
97,90842038.17511958,35
98,90751196.13694446,35
99,90660444.9408075,35
100,90569784.4958667,35
101,90479214.71137084,35
102,90388735.49665947,35
103,90298346.76116282,35
104,90208048.41440165,35
105,90117840.36598724,35
106,90027722.52562125,35
107,89937694.80309562,35
108,89847757.10829253,35
109,89757909.35118425,35
110,89668151.44183306,35
111,89578483.29039124,35
112,89488904.80710085,35
113,89399415.90229374,35
114,89310016.48639145,35
115,89220706.46990506,35
116,89131485.76343516,35
117,89042354.27767172,35
118,88953311.92339405,35
119,88864358.61147065,35
120,88775494.25285919,35
121,88686718.75860633,35
122,88598032.03984772,35
123,88509434.00780787,35
124,88420924.57380006,35
125,88332503.64922626,35
126,88244171.14557704,35
127,88155926.97443147,35
128,88067771.04745704,35
129,87979703.27640958,35
130,87891723.57313317,35
131,87803831.84956004,35
132,87716028.01771048,35
133,87628311.98969276,35
134,87540683.67770307,35
135,87453142.99402536,35
136,87365689.85103133,35
137,87278324.1611803,35
138,87191045.83701912,35
139,87103854.7911821,35
140,87016750.93639092,35
141,86929734.18545453,35
142,86842804.45126908,35
143,86755961.6468178,35
144,86669205.68517098,35
145,86582536.47948581,35
146,86495953.94300632,35
147,86409457.98906332,35
148,86323048.53107426,35
149,86236725.48254319,35
150,86150488.75706065,35
151,86064338.26830359,35
152,85978273.93003528,35
153,85892295.65610525,35
154,85806403.36044915,35
155,85720596.9570887,35
156,85634876.3601316,35
157,85549241.48377147,35
158,85463692.2422877,35
159,85378228.5500454,34
160,85292850.32149535,34
161,85207557.47117385,34
162,85122349.91370268,34
163,85037227.56378898,34
164,84952190.3362252,34
165,84867238.14588897,34
166,84782370.90774308,34
167,84697588.53683534,34
168,84612890.94829851,34
169,84528278.05735022,34
170,84443749.77929287,34
171,84359306.02951357,34
172,84274946.72348405,34
173,84190671.77676056,34
174,84106481.1049838,34
175,84022374.62387882,34
176,83938352.24925494,34
