Iteration,Temperature,Best Fitness
1,100000000.0,42
2,99900000.0,42
3,99800100.0,42
4,99700299.9,42
5,99600599.60010001,42
6,99500999.0004999,42
7,99401498.0014994,42
8,99302096.5034979,42
9,99202794.4069944,42
10,99103591.6125874,42
11,99004488.02097481,42
12,98905483.53295384,42
13,98806578.0494209,42
14,98707771.47137147,42
15,98609063.6999001,42
16,98510454.6362002,42
17,98411944.181564,42
18,98313532.23738244,42
19,98215218.70514506,42
20,98117003.48643991,42
21,98018886.48295347,42
22,97920867.59647052,42
23,97822946.72887404,42
24,97725123.78214517,42
25,97627398.65836303,42
26,97529771.25970466,42
27,97432241.48844495,42
28,97334809.24695651,42
29,97237474.43770956,42
30,97140236.96327184,42
31,97043096.72630857,42
32,96946053.62958226,42
33,96849107.57595268,42
34,96752258.46837673,42
35,96655506.20990835,42
36,96558850.70369844,42
37,96462291.85299474,42
38,96365829.56114174,42
39,96269463.7315806,42
40,96173194.26784901,42
41,96077021.07358116,42
42,95980944.05250758,42
43,95884963.10845508,42
44,95789078.14534663,42
45,95693289.06720129,42
46,95597595.77813408,42
47,95501998.18235594,42
48,95406496.18417358,42
49,95311089.68798941,42
50,95215778.59830143,42
51,95120562.81970312,42
52,95025442.25688341,42
53,94930416.81462653,42
54,94835486.3978119,42
55,94740650.91141409,42
56,94645910.26050267,42
57,94551264.35024217,41
58,94456713.08589193,41
59,94362256.37280604,41
60,94267894.11643323,41
61,94173626.2223168,41
62,94079452.59609449,38
63,93985373.14349839,38
64,93891387.7703549,38
65,93797496.38258454,38
66,93703698.88620196,38
67,93609995.18731576,38
68,93516385.19212845,38
69,93422868.80693632,38
70,93329445.93812938,38
71,93236116.49219126,38
72,93142880.37569906,38
73,93049737.49532336,38
74,92956687.75782804,38
75,92863731.0700702,38
76,92770867.33900014,38
77,92678096.47166114,38
78,92585418.37518947,38
79,92492832.95681427,38
80,92400340.12385745,38
81,92307939.78373359,38
82,92215631.84394985,38
83,92123416.2121059,38
84,92031292.79589379,38
85,91939261.50309789,38
86,91847322.24159479,38
87,91755474.9193532,38
88,91663719.44443385,38
89,91572055.72498941,38
90,91480483.66926442,38
91,91389003.18559515,38
92,91297614.18240955,38
93,91206316.56822714,38
94,91115110.25165892,38
95,91023995.14140725,38
96,90932971.14626585,38
97,90842038.17511958,38
98,90751196.13694446,38
99,90660444.9408075,38
100,90569784.4958667,38
101,90479214.71137084,38
102,90388735.49665947,38
103,90298346.76116282,38
104,90208048.41440165,38
105,90117840.36598724,38
106,90027722.52562125,38
107,89937694.80309562,38
108,89847757.10829253,38
109,89757909.35118425,38
110,89668151.44183306,38
111,89578483.29039124,38
112,89488904.80710085,38
113,89399415.90229374,38
114,89310016.48639145,38
115,89220706.46990506,38
116,89131485.76343516,38
117,89042354.27767172,38
118,88953311.92339405,38
119,88864358.61147065,38
120,88775494.25285919,38
121,88686718.75860633,38
122,88598032.03984772,38
123,88509434.00780787,38
124,88420924.57380006,38
125,88332503.64922626,38
126,88244171.14557704,38
127,88155926.97443147,38
128,88067771.04745704,38
129,87979703.27640958,38
130,87891723.57313317,38
131,87803831.84956004,38
132,87716028.01771048,38
133,87628311.98969276,36
134,87540683.67770307,36
135,87453142.99402536,36
136,87365689.85103133,36
137,87278324.1611803,36
138,87191045.83701912,36
139,87103854.7911821,36
140,87016750.93639092,36
141,86929734.18545453,36
142,86842804.45126908,36
143,86755961.6468178,36
144,86669205.68517098,36
145,86582536.47948581,36
146,86495953.94300632,36
147,86409457.98906332,36
148,86323048.53107426,36
149,86236725.48254319,36
150,86150488.75706065,36
151,86064338.26830359,36
152,85978273.93003528,36
153,85892295.65610525,36
154,85806403.36044915,36
155,85720596.9570887,36
156,85634876.3601316,36
157,85549241.48377147,36
158,85463692.2422877,36
159,85378228.5500454,36
160,85292850.32149535,36
161,85207557.47117385,36
162,85122349.91370268,36
163,85037227.56378898,36
164,84952190.3362252,36
165,84867238.14588897,36
166,84782370.90774308,36
167,84697588.53683534,36
168,84612890.94829851,36
169,84528278.05735022,36
170,84443749.77929287,36
171,84359306.02951357,36
172,84274946.72348405,36
173,84190671.77676056,36
174,84106481.1049838,36
175,84022374.62387882,36
176,83938352.24925494,36
177,83854413.89700569,36
178,83770559.48310868,36
179,83686788.92362557,36
180,83603102.13470195,36
181,83519499.03256725,36
182,83435979.53353468,36
183,83352543.55400114,36
184,83269191.01044713,36
185,83185921.81943668,36
186,83102735.89761725,36
187,83019633.16171964,36
188,82936613.52855791,36
189,82853676.91502935,36
190,82770823.23811431,36
191,82688052.4148762,36
192,82605364.36246131,36
193,82522758.99809885,36
194,82440236.23910075,36
195,82357796.00286165,36
196,82275438.20685878,36
197,82193162.76865193,36
198,82110969.60588329,36
199,82028858.6362774,36
200,81946829.77764113,36
201,81864882.94786349,36
202,81783018.06491563,36
203,81701235.04685071,36
204,81619533.81180386,36
205,81537914.27799205,34
206,81456376.36371407,34
207,81374919.98735036,34
208,81293545.06736301,34
209,81212251.52229564,34
210,81131039.27077334,34
211,81049908.23150256,34
212,80968858.32327107,34
213,80887889.46494779,34
214,80807001.57548285,34
215,80726194.57390736,34
216,80645468.37933345,34
217,80564822.91095412,34
218,80484258.08804317,33
219,80403773.82995513,33
220,80323370.05612518,33
221,80243046.68606906,33
222,80162803.63938299,33
223,80082640.8357436,33
224,80002558.19490786,33
225,79922555.63671295,33
226,79842633.08107623,33
227,79762790.44799516,33
228,79683027.65754716,33
229,79603344.6298896,33
230,79523741.28525972,33
231,79444217.54397446,33
232,79364773.32643048,33
233,79285408.55310406,33
234,79206123.14455095,33
235,79126917.0214064,33
236,79047790.10438499,33
237,78968742.3142806,33
238,78889773.57196632,33
239,78810883.79839435,33
240,78732072.91459596,33
241,78653340.84168136,33
242,78574687.50083968,33
243,78496112.81333885,33
244,78417616.7005255,33
245,78339199.08382498,33
246,78260859.88474116,33
247,78182599.02485642,33
248,78104416.42583156,33
249,78026312.00940572,33
250,77948285.69739631,33
251,77870337.41169891,33
252,77792467.0742872,33
253,77714674.60721292,33
254,77636959.9326057,33
255,77559322.97267309,33
256,77481763.64970042,33
257,77404281.88605072,33
258,77326877.60416466,33
259,77249550.72656049,33
260,77172301.17583393,33
261,77095128.8746581,33
262,77018033.74578343,33
263,76941015.71203765,33
264,76864074.69632562,33
265,76787210.62162928,33
266,76710423.41100766,33
267,76633712.98759665,33
268,76557079.27460904,33
269,76480522.19533443,33
270,76404041.6731391,33
271,76327637.63146596,33
272,76251309.9938345,33
273,76175058.68384066,33
274,76098883.62515682,33
275,76022784.74153167,33
276,75946761.95679013,33
277,75870815.19483334,33
278,75794944.37963851,33
279,75719149.43525887,33
280,75643430.28582361,33
281,75567786.85553779,33
282,75492219.06868225,33
283,75416726.84961358,33
284,75341310.12276396,33
285,75265968.8126412,33
286,75190702.84382856,33
287,75115512.14098473,33
288,75040396.62884374,33
289,74965356.2322149,33
290,74890390.87598269,33
291,74815500.4851067,33
292,74740684.9846216,33
293,74665944.29963697,33
294,74591278.35533734,33
295,74516687.076982,33
296,74442170.38990502,33
297,74367728.21951512,33
298,74293360.4912956,33
299,74219067.13080432,33
300,74144848.06367351,33
301,74070703.21560983,33
302,73996632.51239422,33
303,73922635.87988183,33
304,73848713.24400194,33
305,73774864.53075793,33
306,73701089.66622718,33
307,73627388.57656094,33
308,73553761.18798438,33
309,73480207.42679639,33
310,73406727.21936959,33
311,73333320.49215022,33
312,73259987.17165807,33
313,73186727.1844864,33
314,73113540.45730191,33
315,73040426.9168446,33
316,72967386.48992777,33
317,72894419.10343784,33
318,72821524.6843344,33
319,72748703.15965006,33
320,72675954.45649041,33
321,72603278.50203392,33
322,72530675.22353189,33
323,72458144.54830836,33
324,72385686.40376005,33
325,72313300.71735628,33
326,72240987.41663893,33
327,72168746.42922229,33
328,72096577.68279307,33
329,72024481.10511027,33
330,71952456.62400517,33
331,71880504.16738117,33
332,71808623.66321379,33
333,71736815.03955057,33
334,71665078.22451103,33
335,71593413.14628652,33
336,71521819.73314023,33
337,71450297.91340709,33
338,71378847.61549369,33
339,71307468.76787819,33
340,71236161.29911031,33
341,71164925.1378112,33
342,71093760.21267338,33
343,71022666.4524607,33
344,70951643.78600824,33
345,70880692.14222223,33
346,70809811.45008,33
347,70739001.63862993,33
348,70668262.63699129,33
349,70597594.3743543,33
350,70526996.77997994,33
351,70456469.78319997,33
352,70386013.31341676,33
353,70315627.30010335,33
354,70245311.67280325,33
355,70175066.36113045,33
356,70104891.29476932,33
357,70034786.40347455,33
358,69964751.61707108,33
359,69894786.865454,33
360,69824892.07858855,33
361,69755067.18650995,33
362,69685312.11932345,33
363,69615626.80720413,33
364,69546011.18039693,33
365,69476465.16921653,33
366,69406988.7040473,33
367,69337581.71534327,33
368,69268244.13362792,33
369,69198975.8894943,33
370,69129776.91360481,33
371,69060647.13669121,33
372,68991586.48955452,33
373,68922594.90306497,33
374,68853672.3081619,33
375,68784818.63585374,33
376,68716033.81721789,33
377,68647317.78340067,33
378,68578670.46561727,33
379,68510091.79515165,33
380,68441581.7033565,33
381,68373140.12165315,33
382,68304766.9815315,33
383,68236462.21454997,33
384,68168225.75233543,33
385,68100057.52658309,33
386,68031957.4690565,33
387,67963925.51158744,33
388,67895961.58607586,33
389,67828065.62448978,33
390,67760237.5588653,33
391,67692477.32130642,33
392,67624784.84398511,33
393,67557160.05914113,33
394,67489602.89908199,33
395,67422113.2961829,33
396,67354691.18288672,33
397,67287336.49170384,33
398,67220049.15521213,33
399,67152829.10605693,33
400,67085676.27695087,33
401,67018590.60067392,33
402,66951572.010073245,33
403,66884620.438063174,33
404,66817735.81762511,33
405,66750918.08180749,33
406,66684167.16372568,33
407,66617482.99656196,33
408,66550865.5135654,33
409,66484314.648051836,33
410,66417830.33340378,33
411,66351412.50307038,33
412,66285061.090567306,33
413,66218776.02947674,33
414,66152557.253447264,33
415,66086404.696193814,33
416,66020318.29149762,33
417,65954297.97320612,33
418,65888343.67523291,33
419,65822455.331557676,33
420,65756632.87622612,33
421,65690876.243349895,33
422,65625185.36710654,33
423,65559560.181739435,33
424,65494000.6215577,33
425,65428506.62093614,33
426,65363078.114315204,33
427,65297715.03620089,33
428,65232417.32116469,33
429,65167184.90384352,33
430,65102017.71893968,33
431,65036915.701220736,33
432,64971878.78551952,33
433,64906906.906734,33
434,64841999.999827266,33
435,64777157.99982744,33
436,64712380.84182761,33
437,64647668.46098578,33
438,64583020.79252479,33
439,64518437.77173227,33
440,64453919.33396054,33
441,64389465.41462658,33
442,64325075.949211955,33
443,64260750.87326274,33
444,64196490.12238948,33
445,64132293.63226709,33
446,64068161.33863482,33
447,64004093.177296184,33
448,63940089.08411889,33
449,63876148.99503477,33
450,63812272.846039735,33
451,63748460.57319369,33
452,63684712.112620495,33
453,63621027.400507875,33
454,63557406.373107366,33
455,63493848.96673426,33
456,63430355.11776753,33
457,63366924.76264976,33
458,63303557.83788711,33
459,63240254.28004922,33
460,63177014.025769174,33
461,63113837.011743404,33
462,63050723.17473166,33
463,62987672.45155693,33
464,62924684.77910537,33
465,62861760.094326265,33
466,62798898.334231935,33
467,62736099.4358977,33
468,62673363.336461805,33
469,62610689.973125346,33
470,62548079.28315222,33
471,62485531.20386907,33
