Iteration,Temperature,Best Fitness
1,100000000.0,49
2,99900000.0,47
3,99800100.0,47
4,99700299.9,47
5,99600599.60010001,47
6,99500999.0004999,47
7,99401498.0014994,47
8,99302096.5034979,47
9,99202794.4069944,47
10,99103591.6125874,47
11,99004488.02097481,47
12,98905483.53295384,47
13,98806578.0494209,47
14,98707771.47137147,47
15,98609063.6999001,47
16,98510454.6362002,47
17,98411944.181564,47
18,98313532.23738244,47
19,98215218.70514506,47
20,98117003.48643991,47
21,98018886.48295347,47
22,97920867.59647052,47
23,97822946.72887404,45
24,97725123.78214517,45
25,97627398.65836303,45
26,97529771.25970466,44
27,97432241.48844495,44
28,97334809.24695651,44
29,97237474.43770956,44
30,97140236.96327184,44
31,97043096.72630857,44
32,96946053.62958226,44
33,96849107.57595268,44
34,96752258.46837673,44
35,96655506.20990835,44
36,96558850.70369844,44
37,96462291.85299474,44
38,96365829.56114174,44
39,96269463.7315806,44
40,96173194.26784901,44
41,96077021.07358116,44
42,95980944.05250758,44
43,95884963.10845508,44
44,95789078.14534663,43
45,95693289.06720129,43
46,95597595.77813408,43
47,95501998.18235594,43
48,95406496.18417358,43
49,95311089.68798941,42
50,95215778.59830143,42
51,95120562.81970312,42
52,95025442.25688341,42
53,94930416.81462653,42
54,94835486.3978119,42
55,94740650.91141409,42
56,94645910.26050267,42
57,94551264.35024217,42
58,94456713.08589193,42
59,94362256.37280604,42
60,94267894.11643323,42
61,94173626.2223168,42
62,94079452.59609449,42
63,93985373.14349839,42
64,93891387.7703549,42
65,93797496.38258454,42
66,93703698.88620196,42
67,93609995.18731576,42
68,93516385.19212845,42
69,93422868.80693632,42
70,93329445.93812938,42
71,93236116.49219126,42
72,93142880.37569906,42
73,93049737.49532336,42
74,92956687.75782804,42
75,92863731.0700702,42
76,92770867.33900014,42
77,92678096.47166114,42
78,92585418.37518947,42
79,92492832.95681427,42
80,92400340.12385745,42
81,92307939.78373359,42
82,92215631.84394985,42
83,92123416.2121059,42
84,92031292.79589379,42
85,91939261.50309789,42
86,91847322.24159479,42
87,91755474.9193532,42
88,91663719.44443385,42
89,91572055.72498941,42
90,91480483.66926442,42
91,91389003.18559515,42
92,91297614.18240955,42
93,91206316.56822714,42
94,91115110.25165892,42
95,91023995.14140725,42
96,90932971.14626585,42
97,90842038.17511958,42
98,90751196.13694446,42
99,90660444.9408075,42
100,90569784.4958667,42
101,90479214.71137084,42
102,90388735.49665947,42
103,90298346.76116282,42
104,90208048.41440165,42
105,90117840.36598724,42
106,90027722.52562125,42
107,89937694.80309562,42
108,89847757.10829253,42
109,89757909.35118425,42
110,89668151.44183306,42
111,89578483.29039124,42
112,89488904.80710085,42
113,89399415.90229374,42
114,89310016.48639145,42
115,89220706.46990506,42
116,89131485.76343516,42
117,89042354.27767172,42
118,88953311.92339405,42
119,88864358.61147065,42
120,88775494.25285919,42
121,88686718.75860633,42
122,88598032.03984772,42
123,88509434.00780787,42
124,88420924.57380006,42
125,88332503.64922626,42
126,88244171.14557704,42
127,88155926.97443147,42
128,88067771.04745704,42
129,87979703.27640958,42
130,87891723.57313317,42
131,87803831.84956004,42
132,87716028.01771048,42
133,87628311.98969276,42
134,87540683.67770307,42
135,87453142.99402536,42
136,87365689.85103133,42
137,87278324.1611803,42
138,87191045.83701912,42
139,87103854.7911821,42
140,87016750.93639092,42
141,86929734.18545453,42
142,86842804.45126908,42
143,86755961.6468178,42
144,86669205.68517098,42
145,86582536.47948581,42
146,86495953.94300632,42
147,86409457.98906332,42
148,86323048.53107426,42
149,86236725.48254319,41
150,86150488.75706065,41
151,86064338.26830359,41
152,85978273.93003528,41
153,85892295.65610525,41
154,85806403.36044915,41
155,85720596.9570887,41
156,85634876.3601316,41
157,85549241.48377147,41
158,85463692.2422877,41
159,85378228.5500454,41
160,85292850.32149535,41
161,85207557.47117385,41
162,85122349.91370268,41
163,85037227.56378898,41
164,84952190.3362252,41
165,84867238.14588897,41
166,84782370.90774308,40
167,84697588.53683534,40
168,84612890.94829851,40
169,84528278.05735022,40
170,84443749.77929287,40
171,84359306.02951357,40
172,84274946.72348405,40
173,84190671.77676056,40
174,84106481.1049838,40
175,84022374.62387882,40
176,83938352.24925494,40
177,83854413.89700569,40
178,83770559.48310868,40
179,83686788.92362557,40
180,83603102.13470195,40
181,83519499.03256725,40
182,83435979.53353468,40
183,83352543.55400114,40
184,83269191.01044713,40
185,83185921.81943668,40
186,83102735.89761725,40
187,83019633.16171964,40
188,82936613.52855791,40
189,82853676.91502935,40
190,82770823.23811431,40
191,82688052.4148762,40
192,82605364.36246131,40
193,82522758.99809885,40
194,82440236.23910075,40
195,82357796.00286165,40
196,82275438.20685878,40
197,82193162.76865193,40
198,82110969.60588329,40
199,82028858.6362774,40
200,81946829.77764113,40
201,81864882.94786349,40
202,81783018.06491563,40
203,81701235.04685071,40
204,81619533.81180386,40
205,81537914.27799205,40
206,81456376.36371407,40
207,81374919.98735036,40
208,81293545.06736301,40
209,81212251.52229564,40
210,81131039.27077334,40
211,81049908.23150256,40
212,80968858.32327107,40
213,80887889.46494779,40
214,80807001.57548285,40
215,80726194.57390736,40
216,80645468.37933345,40
217,80564822.91095412,40
218,80484258.08804317,40
219,80403773.82995513,40
220,80323370.05612518,40
221,80243046.68606906,40
222,80162803.63938299,40
223,80082640.8357436,40
224,80002558.19490786,40
225,79922555.63671295,40
226,79842633.08107623,40
227,79762790.44799516,40
228,79683027.65754716,40
229,79603344.6298896,40
230,79523741.28525972,40
231,79444217.54397446,40
232,79364773.32643048,40
233,79285408.55310406,40
234,79206123.14455095,40
235,79126917.0214064,40
236,79047790.10438499,40
237,78968742.3142806,40
238,78889773.57196632,40
239,78810883.79839435,40
240,78732072.91459596,40
241,78653340.84168136,40
242,78574687.50083968,40
243,78496112.81333885,40
244,78417616.7005255,40
245,78339199.08382498,40
246,78260859.88474116,40
247,78182599.02485642,40
248,78104416.42583156,40
249,78026312.00940572,40
250,77948285.69739631,40
251,77870337.41169891,40
252,77792467.0742872,40
253,77714674.60721292,40
